;R	G	B	Name
0.73725	0.33989	0.24452	6
0.7098	0.32931	0.23214	6
0.78431	0.35488	0.25878	6
0.67059	0.31304	0.22616	6
0.79608	0.43431	0.31843	6
0.81569	0.39534	0.26667	6
0.8549	0.41986	0.28497	6
0.79216	0.35854	0.2418	6
0.83529	0.40299	0.26997	6
0.77647	0.37019	0.26009	6
0.73725	0.35025	0.25048	6
0.73333	0.33559	0.2418	6
0.72549	0.35682	0.25568	6
0.73333	0.32451	0.23845	6
0.085386	0.090196	0.075765	7
0.087074	0.090196	0.076667	7
0.090196	0.090196	0.075955	7
0.0493	0.0493	0.062745	7
0.094221	0.10246	0.1098	7
0.099071	0.1046	0.11765	7
0.097187	0.10973	0.11765	7
0.080738	0.082901	0.098039	7
0.052381	0.052381	0.066667	7
0.073797	0.086096	0.090196	7
0.048802	0.048802	0.062745	7
0.14896	0.38039	0.33411	5
0.16159	0.38431	0.33977	5
0.11515	0.39608	0.34118	5
0.122	0.40392	0.34754	5
0.15782	0.38039	0.33828	5
0.069841	0.069841	0.086275	7
0.096877	0.11219	0.11373	7
0.13064	0.1427	0.16078	7
0.073016	0.073016	0.090196	7
0.07105	0.086275	0.08323	7
0.15315	0.17464	0.20784	7
0.07105	0.086275	0.0841	7
0.073225	0.086275	0.07105	7
0.13764	0.18886	0.42745	3
0.16194	0.20761	0.40784	3
0.14264	0.20814	0.47451	3
0.14154	0.18533	0.4	3
0.16028	0.2023	0.37255	3
0.19443	0.26103	0.46275	3
0.16953	0.22331	0.40784	3
0.12706	0.17573	0.42353	3
0.15594	0.20077	0.40784	3
0.18566	0.26271	0.47843	3
0.24706	0.34771	0.57647	3
0.18421	0.24265	0.46667	3
0.14187	0.20285	0.48235	3
0.16246	0.23209	0.4549	3
0.85116	0.93333	0.56812	2
0.93916	1	0.57919	2
0.94363	1	0.57874	2
0.93055	1	0.6	2
0.86565	1	0.53725	2
0.91151	1	0.54118	2
0.9269	1	0.56471	2
0.90484	1	0.54902	2
0.86576	0.99608	0.55859	2
0.89922	1	0.55686	2
0.86851	0.98039	0.60746	2
0.96521	0.99608	0.67968	2
0.91564	1	0.61569	2
1	1	0.85799	2
0.58824	0.40862	0.36199	1
0.57647	0.3821	0.33666	1
0.55686	0.4103	0.35437	1
0.53725	0.3258	0.27495	1
0.54902	0.36781	0.31892	1
0.74118	0.50202	0.44971	1
0.69412	0.52383	0.472	1
0.59608	0.38211	0.33274	1
0.53725	0.44952	0.34228	1
0.64314	0.47288	0.40283	1
0.57255	0.41725	0.35069	1
0.65882	0.44802	0.37059	1
0.66275	0.3688	0.30621	1
0.95544	1	0.60784	2
0.93832	0.99608	0.6289	2
0.17233	0.45034	0.95686	3
0.17642	0.44815	0.93725	3
0.87843	0.70887	0.61788	6
0.83529	0.67271	0.57437	6
0.83529	0.70427	0.606	6
0.91176	0.74907	0.63944	6
0.8902	0.69355	0.5795	6
0.83529	0.68371	0.59454	6
