;R	G	B	Name
0.73725	0.38757	0.24452	6
0.7098	0.3779	0.23214	6
0.78431	0.40293	0.25878	6
0.67059	0.35648	0.22616	6
0.79608	0.49225	0.31843	6
0.81569	0.45968	0.26667	6
0.8549	0.48731	0.28497	6
0.79216	0.41691	0.2418	6
0.83529	0.4695	0.26997	6
0.77647	0.42525	0.26009	6
0.73725	0.40014	0.25048	6
0.73333	0.38249	0.2418	6
0.72549	0.40739	0.25568	6
0.73333	0.36755	0.23845	6
0.075765	0.090196	0.075765	7
0.078748	0.090196	0.076667	7
0.083075	0.090196	0.075955	7
0.062745	0.0493	0.0493	7
0.1098	0.094221	0.10658	7
0.11765	0.099071	0.10737	7
0.11765	0.097187	0.116	7
0.098039	0.080738	0.083982	7
0.066667	0.052381	0.052381	7
0.088146	0.073797	0.090196	7
0.062745	0.048802	0.048802	7
0.19525	0.14896	0.38039	5
0.20613	0.16159	0.38431	5
0.17327	0.11515	0.39608	5
0.17839	0.122	0.40392	5
0.20595	0.15782	0.38039	5
0.086275	0.069841	0.069841	7
0.1076	0.096877	0.11373	7
0.16078	0.13064	0.14873	7
0.090196	0.073016	0.073016	7
0.074095	0.07105	0.086275	7
0.20784	0.15315	0.18538	7
0.0754	0.07105	0.086275	7
0.07105	0.086275	0.083012	7
0.42745	0.13764	0.21447	3
0.40784	0.16194	0.23044	3
0.47451	0.14264	0.24089	3
0.4	0.14154	0.20722	3
0.37255	0.16028	0.22332	3
0.46275	0.19443	0.29434	3
0.40784	0.16953	0.2502	3
0.42353	0.12706	0.20007	3
0.40784	0.15594	0.22319	3
0.47843	0.18566	0.30123	3
0.57647	0.24706	0.39804	3
0.46667	0.18421	0.27187	3
0.48235	0.14187	0.23334	3
0.4549	0.16246	0.26691	3
0.62746	0.93333	0.56812	2
0.69834	1	0.57919	2
0.70482	1	0.57874	2
0.69583	1	0.6	2
0.56711	1	0.53725	2
0.63786	1	0.54118	2
0.6727	1	0.56471	2
0.63177	1	0.54902	2
0.58186	0.99608	0.55859	2
0.62726	1	0.55686	2
0.62611	0.98039	0.60746	2
0.79158	0.99608	0.67968	2
0.6813	1	0.61569	2
0.92899	1	0.85799	2
0.58824	0.43194	0.36199	1
0.57647	0.40482	0.33666	1
0.55686	0.43827	0.35437	1
0.53725	0.35123	0.27495	1
0.54902	0.39226	0.31892	1
0.74118	0.52818	0.44971	1
