;R	G	B	Name
0.72996	0.1853	0.29309	6
0.71308	0.18617	0.29363	6
0.70464	0.18652	0.29418	6
0.71308	0.18619	0.29372	6
0.72152	0.185	0.29231	6
0.72996	0.1853	0.29303	6
0.7173	0.18537	0.29247	6
0.72152	0.1862	0.29392	6
0.71308	0.18633	0.29395	6
0.70886	0.18544	0.29257	6
0.68182	0.19197	0.29974	6
0.69008	0.19117	0.29841	6
0.71074	0.19384	0.30129	6
0.69008	0.19198	0.29948	6
0.69008	0.19224	0.29988	6
0.68595	0.19236	0.30015	6
0.69835	0.19246	0.30001	6
0.69835	0.19296	0.30078	6
0.71074	0.19384	0.30138	6
0.68595	0.19166	0.29912	6
0.78099	0.21834	0.32551	6
0.77273	0.22019	0.32883	6
0.78099	0.21897	0.32666	6
0.7686	0.22077	0.32969	6
0.78512	0.21898	0.32665	6
0.77273	0.21957	0.3278	6
0.78512	0.21881	0.32649	6
0.77273	0.22023	0.32905	6
0.78099	0.21945	0.32757	6
0.77686	0.2193	0.32754	6
0.65546	0.17012	0.27315	6
0.63866	0.17135	0.27459	6
0.63866	0.17135	0.27459	6
0.65126	0.17113	0.27469	6
0.65126	0.17109	0.27456	6
0.65966	0.17068	0.27407	6
0.65126	0.1709	0.27427	6
0.64706	0.17054	0.27374	6
0.64286	0.17115	0.2747	6
0.64706	0.17182	0.27561	6
0.78125	0.20654	0.35908	6
0.77232	0.21531	0.36693	6
0.77232	0.21362	0.36537	6
0.77679	0.20807	0.36017	6
0.77232	0.21032	0.36136	6
0.78571	0.20204	0.35544	6
0.77679	0.21057	0.36258	6
0.77232	0.21267	0.36402	6
0.77679	0.20741	0.35954	6
0.77232	0.2134	0.36492	6
0.81172	0.21824	0.36661	6
0.81172	0.21592	0.36387	6
0.81172	0.21881	0.36704	6
0.80335	0.22857	0.37637	6
0.81172	0.21567	0.36366	6
0.81172	0.21696	0.36565	6
0.80753	0.22176	0.36947	6
0.79916	0.23072	0.37794	6
0.81172	0.2192	0.36733	6
0.80753	0.22179	0.36976	6
0.84091	0.16818	0.33745	6
0.82273	0.17657	0.3455	6
0.83182	0.1721	0.34126	6
0.84545	0.16593	0.33581	6
0.84545	0.16616	0.33698	6
0.85	0.16614	0.3371	6
0.83182	0.17393	0.34344	6
0.82273	0.17576	0.34454	6
0.83636	0.17156	0.34151	6
0.82273	0.17576	0.34454	6
0.78926	0.20295	0.33773	6
0.7686	0.20345	0.33909	6
0.78512	0.20355	0.33911	6
0.77273	0.20268	0.33769	6
0.77273	0.20284	0.33807	6
0.78926	0.20295	0.33798	6
0.78099	0.2029	0.3382	6
0.77686	0.20238	0.33755	6
0.78512	0.20355	0.33913	6
0.77273	0.20366	0.33916	6
0.8	0.15215	0.31504	6
0.80909	0.15003	0.31366	6
0.81364	0.14929	0.31253	6
0.8	0.15122	0.31341	6
0.8	0.15172	0.31379	6
0.82273	0.14635	0.31006	6
0.80455	0.15044	0.31305	6
0.80455	0.14956	0.31229	6
0.80455	0.15007	0.31272	6
0.81818	0.14746	0.31084	6
0.75104	0.22214	0.36564	6
0.75104	0.22235	0.36621	6
0.75104	0.22116	0.36446	6
0.75519	0.21896	0.36163	6
0.77178	0.2157	0.35652	6
0.75104	0.22112	0.36443	6
0.77178	0.21514	0.35533	6
0.75519	0.22122	0.36498	6
0.76763	0.21674	0.35852	6
0.75519	0.22026	0.36326	6
0.71784	0.20731	0.31858	6
0.72199	0.20684	0.31811	6
0.70954	0.20813	0.31922	6
0.71369	0.20898	0.32068	6
0.73444	0.20688	0.31865	6
0.71369	0.20845	0.32004	6
0.72614	0.20747	0.31896	6
0.71784	0.20726	0.31839	6
0.73444	0.20627	0.31791	6
0.72614	0.20671	0.31802	6
0.70588	0.18638	0.2921	6
0.71008	0.18655	0.29247	6
0.70168	0.18644	0.29197	6
0.71849	0.18608	0.29145	6
0.69748	0.18673	0.29197	6
0.72689	0.18648	0.29215	6
0.71429	0.18681	0.29231	6
0.71849	0.18674	0.29243	6
0.71429	0.18657	0.29211	6
0.71008	0.18606	0.29165	6
0.74167	0.23683	0.36196	6
0.7375	0.23771	0.36265	6
0.7375	0.23661	0.36104	6
0.75	0.23585	0.36144	6
0.75417	0.23568	0.36198	6
0.72917	0.23864	0.36223	6
0.74167	0.23779	0.36284	6
0.74167	0.23716	0.36237	6
0.73333	0.23833	0.36208	6
0.73333	0.23699	0.36108	6
0.71429	0.18227	0.28057	6
0.71008	0.18259	0.2815	6
0.71008	0.18156	0.27975	6
0.72269	0.18315	0.28125	6
0.72269	0.1827	0.28041	6
0.71008	0.18173	0.28003	6
0.70168	0.18178	0.28029	6
0.70588	0.18188	0.28038	6
0.71008	0.18207	0.28052	6
0.71429	0.18229	0.28067	6
0.064451	0.056869	0.072034	7
0.064316	0.056598	0.072034	7
0.064394	0.056754	0.072034	7
0.064451	0.056869	0.072034	7
0.064451	0.056869	0.072034	7
0.064316	0.056598	0.072034	7
0.065419	0.056598	0.072034	7
0.065631	0.056026	0.072034	7
0.064316	0.056598	0.072034	7
0.064451	0.056869	0.072034	7
0.067105	0.059649	0.074561	7
0.068283	0.058864	0.074561	7
0.067105	0.059649	0.074561	7
0.06817	0.058584	0.074561	7
0.06817	0.058584	0.074561	7
0.06817	0.058584	0.074561	7
0.06817	0.058584	0.074561	7
0.06817	0.058584	0.074561	7
0.067105	0.059649	0.074561	7
0.06817	0.058584	0.074561	7
0.066756	0.058745	0.074766	7
0.072378	0.061786	0.079439	7
0.066756	0.058745	0.074766	7
0.072378	0.061786	0.079439	7
0.066756	0.058745	0.074766	7
0.066756	0.058745	0.074766	7
0.066756	0.058745	0.074766	7
0.066756	0.058745	0.074766	7
0.066756	0.058745	0.074766	7
0.072378	0.061786	0.079439	7
0.038596	0.032581	0.047619	7
0.047291	0.037438	0.057143	7
0.047347	0.037551	0.057143	7
0.03869	0.032738	0.047619	7
0.05098	0.040056	0.061905	7
0.039048	0.033333	0.047619	7
0.039048	0.033333	0.047619	7
0.03551	0.030612	0.042857	7
0.038596	0.032581	0.047619	7
0.047347	0.037551	0.057143	7
0.083654	0.079327	0.10096	7
0.079657	0.076357	0.096154	7
0.074904	0.073077	0.091346	7
0.083654	0.079327	0.10096	7
0.075687	0.073077	0.091346	7
0.080128	0.076923	0.096154	7
0.083013	0.078526	0.10096	7
0.07378	0.07378	0.091346	7
0.080128	0.076923	0.096154	7
0.083654	0.079327	0.10096	7
0.074224	0.074224	0.096491	7
0.071637	0.071637	0.092105	7
0.075658	0.075658	0.10088	7
0.075658	0.075658	0.10088	7
0.075049	0.075049	0.096491	7
0.076528	0.076528	0.10088	7
0.071637	0.071637	0.092105	7
0.075049	0.075049	0.096491	7
0.074224	0.074224	0.096491	7
0.076667	0.076667	0.10088	7
0.082346	0.082346	0.1048	7
0.079512	0.079512	0.10044	7
0.08491	0.08491	0.10917	7
0.08491	0.08491	0.10917	7
0.08274	0.08274	0.1048	7
0.08491	0.08491	0.10917	7
0.090695	0.090695	0.1179	7
0.090695	0.090695	0.1179	7
0.08274	0.08274	0.1048	7
0.087733	0.087733	0.11354	7
0.053917	0.048415	0.070423	7
0.052817	0.048415	0.070423	7
0.057232	0.050078	0.075117	7
0.053744	0.048184	0.070423	7
0.053088	0.048754	0.070423	7
0.053088	0.048754	0.070423	7
0.053088	0.048754	0.070423	7
0.049953	0.046009	0.065728	7
0.052817	0.048415	0.070423	7
0.056338	0.050078	0.075117	7
0.044283	0.038647	0.055556	7
0.041226	0.036376	0.050926	7
0.048695	0.041035	0.060185	7
0.037879	0.03367	0.046296	7
0.037782	0.033525	0.046296	7
0.040741	0.035648	0.050926	7
0.058388	0.04793	0.074074	7
0.037879	0.03367	0.046296	7
0.059259	0.049383	0.074074	7
0.045139	0.038194	0.055556	7
0.067359	0.059977	0.078431	7
0.067227	0.059757	0.078431	7
0.072222	0.061111	0.083333	7
0.063625	0.057023	0.073529	7
0.063725	0.05719	0.073529	7
0.063725	0.05719	0.073529	7
0.059676	0.053708	0.068627	7
0.059477	0.053377	0.068627	7
0.07563	0.063025	0.088235	7
0.07598	0.063725	0.088235	7
0.052907	0.040698	0.065116	7
0.042636	0.034109	0.051163	7
0.042636	0.034109	0.051163	7
0.042636	0.034109	0.051163	7
0.039672	0.032832	0.046512	7
0.043292	0.03542	0.051163	7
0.049668	0.03887	0.060465	7
0.042636	0.034109	0.051163	7
0.049128	0.037791	0.060465	7
0.046512	0.037209	0.055814	7
0.11763	0.34836	0.30163	5
0.11605	0.35246	0.30518	5
0.11093	0.35656	0.30743	5
0.10352	0.35656	0.30718	5
0.106	0.35656	0.30721	5
0.10697	0.35656	0.3073	5
0.11906	0.34836	0.30192	5
0.106	0.35656	0.30721	5
0.11093	0.35656	0.30743	5
0.10235	0.36066	0.31066	5
0.13064	0.34836	0.30388	5
0.1122	0.36066	0.31162	5
0.12938	0.35246	0.30715	5
0.10778	0.36066	0.31131	5
0.12168	0.35246	0.30572	5
0.1155	0.35656	0.30835	5
